dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,130.039556,126.575550,77.051252,71.792196,-0.581824,0.000029,6.274703
0.020000,131.475118,126.563628,78.486863,71.780560,-0.581822,0.000108,6.275061
0.020000,132.910451,126.552236,79.922242,71.768924,-0.581818,0.000175,6.275439
0.020000,134.345556,126.541400,81.357388,71.757287,-0.581814,0.000192,6.275835
0.020000,135.780432,126.531149,82.792301,71.745651,-0.581807,0.000333,6.276250
0.020000,137.215080,126.521509,84.226981,71.734015,-0.581799,0.000431,6.276685
0.020000,138.649500,126.512507,85.661429,71.722379,-0.581791,0.000377,6.277138
0.020000,140.083690,126.504170,87.095643,71.710744,-0.581777,0.000737,6.277610
0.020000,141.517652,126.496525,88.529626,71.699109,-0.581761,0.000794,6.278101
0.020000,142.951385,126.489599,89.963375,71.687474,-0.581743,0.000888,6.278612
0.020000,144.384888,126.483419,91.396892,71.675839,-0.581728,0.000754,6.279141
0.020000,145.818162,126.478013,92.830176,71.664205,-0.581697,0.001527,6.279689
0.020000,147.251206,126.473407,94.263227,71.652572,-0.581668,0.001457,6.280256
0.020000,148.684020,126.469628,95.696046,71.640939,-0.581639,0.001479,6.280842
0.020000,150.116603,126.466703,97.128632,71.629307,-0.581611,0.001389,6.281448
0.020000,151.548955,126.464658,98.560986,71.617676,-0.581559,0.002577,6.282072
0.020000,152.981076,126.463522,99.993107,71.606046,-0.581512,0.002355,6.282715
0.020000,154.255700,126.463982,101.267731,63.731191,-393.742747,-19658.061737,0.005499
0.020000,155.412506,126.484011,102.424710,57.848968,-294.111111,4981.581788,0.028602
0.020000,156.598264,126.530487,103.611378,59.333429,74.223034,18416.707250,0.049280
0.020000,157.810125,126.601725,104.825331,60.697647,68.210898,-300.606770,0.067731
0.020000,159.045608,126.695955,106.064403,61.953578,62.796572,-270.716323,0.084132
0.020000,160.302594,126.811366,107.326676,63.113652,58.003688,-239.644206,0.098640
0.020000,161.579290,126.946139,108.610466,64.189491,53.791939,-210.587442,0.111391
0.020000,162.874204,127.098462,109.914309,65.192132,50.132046,-182.994625,0.122505
0.020000,164.186130,127.266552,111.236959,66.132507,47.018747,-155.664974,0.132085
0.020000,165.514076,127.448649,112.577332,67.018670,44.308161,-135.529302,0.140217
0.020000,166.857298,127.643030,113.934546,67.860691,42.101042,-110.355955,0.146975
0.020000,168.215233,127.847998,115.307863,68.665853,40.258087,-92.147731,0.152419
0.020000,169.587495,128.061877,116.696692,69.441468,38.780754,-73.866641,0.156596
0.020000,170.973872,128.283012,118.100594,70.195084,37.680823,-54.996578,0.159543
0.020000,172.374297,128.509751,119.519256,70.933087,36.900119,-39.035188,0.161285
0.020000,173.788847,128.740440,120.952493,71.661885,36.439944,-23.008774,0.161837
0.020000,175.217735,128.973407,122.400249,72.387756,36.293510,-7.321699,0.161204
0.020000,176.661305,129.206948,123.862587,73.116927,36.458588,8.253938,0.159380
0.020000,178.120030,129.439310,125.339703,73.855804,36.943816,24.261378,0.156350
0.020000,179.594509,129.668675,126.831915,74.610613,37.740482,39.833284,0.152088
0.020000,181.085469,129.893135,128.339676,75.388044,38.871528,56.552313,0.146557
0.020000,182.593766,130.110670,129.863579,76.195158,40.355701,74.208632,0.139707
0.020000,184.120400,130.319120,131.404379,77.039979,42.241060,94.267971,0.131479
0.020000,185.666482,130.516146,132.962965,77.929280,44.465033,111.198670,0.121797
0.020000,187.233297,130.699204,134.540437,78.873599,47.215950,137.545829,0.110575
0.020000,188.822230,130.865484,136.138047,79.880507,50.345400,156.472513,0.097708
0.020000,190.434827,131.011868,137.757274,80.961384,54.043857,184.922841,0.083076
0.020000,192.072761,131.134865,139.399820,82.127286,58.295099,212.562100,0.066540
0.020000,193.737813,131.230537,141.067618,83.389881,63.129758,241.732970,0.047942
0.020000,195.431834,131.294413,142.762843,84.761242,68.568020,271.913055,0.027105
0.020000,197.156695,131.321401,144.487915,86.253613,74.618571,302.527569,0.003830
0.020000,198.914248,131.305677,146.245539,87.881204,81.379546,338.048751,6.261084
0.020000,200.706108,131.240582,148.038580,89.652060,88.542831,358.164230,6.232259
0.020000,202.533538,131.118520,149.870083,91.575118,96.152878,380.502356,6.200293
0.020000,204.397161,130.930883,151.743127,93.652244,103.856311,385.171690,6.164934
0.020000,206.296638,130.668018,153.660707,95.878984,111.337012,374.035020,6.125939
0.020000,208.230117,130.319324,155.625377,98.233515,117.726518,319.475323,6.083096
0.020000,210.193786,129.873463,157.639028,100.682514,122.449956,236.171869,6.036252
0.020000,212.181203,129.318826,159.702386,103.167920,124.270314,91.017908,5.985348
0.020000,214.182734,128.644277,161.814528,105.607107,121.959356,-115.547888,5.930457
0.020000,216.185188,127.840186,163.972394,107.893301,114.309687,-382.483475,5.871830
0.020000,218.171833,126.899698,166.170410,109.900790,100.374436,-696.762517,5.809922
0.020000,220.122986,125.820050,168.400351,111.497055,79.813264,-1028.058628,5.745406
0.020000,222.017300,124.603602,170.651611,112.563011,53.297801,-1325.773147,5.679146
0.020000,223.833612,123.258247,172.911914,113.015123,22.605605,-1534.609788,5.612148
0.020000,225.552977,121.796997,175.168342,112.821414,-9.685444,-1614.552473,5.545466
0.020000,227.160472,120.236721,177.408543,112.010065,-40.567482,-1544.101865,5.480111
0.020000,228.646247,118.596424,179.621709,110.658289,-67.588800,-1351.065908,5.416964
0.020000,230.004919,116.896538,181.797853,108.807172,-92.555819,-1248.350946,5.356756
0.020000,231.229861,115.165904,183.918130,106.013883,-139.664468,-2355.432432,5.300296
0.020000,232.317058,113.438344,185.959321,102.059552,-197.716549,-2902.604074,5.248294
0.020000,233.274195,111.735219,187.912971,97.682486,-218.853304,-1056.837745,5.200883
0.020000,234.115425,110.065778,189.782383,93.470587,-210.594969,412.916743,5.157798
0.020000,234.854257,108.436295,191.571541,89.457921,-200.633282,498.084337,5.118712
0.020000,235.503122,106.850738,193.284729,85.659414,-189.925365,535.395849,5.083273
0.020000,236.073196,105.311348,194.926286,82.077835,-179.078950,542.320760,5.051129
0.020000,236.574315,103.819265,196.500271,78.699266,-168.928434,507.525806,5.021945
0.020000,237.015094,102.374776,198.010515,75.512185,-159.354042,478.719614,4.995411
0.020000,237.402990,100.977752,199.460391,72.493774,-150.920536,421.675283,4.971249
0.020000,237.744491,99.627633,200.853030,69.631970,-143.090213,391.516156,4.949206
0.020000,238.045203,98.323720,202.191169,66.906967,-136.250134,342.003950,4.929058
0.020000,238.309975,97.065279,203.477162,64.299645,-130.366107,294.201349,4.910610
0.020000,238.543031,95.851476,204.713137,61.798746,-125.044963,266.057204,4.893689
0.020000,238.748058,94.681424,205.901016,59.393961,-120.239229,240.286673,4.878140
0.020000,238.928264,93.554348,207.042408,57.069572,-116.219450,200.988972,4.863831
0.020000,239.086471,92.469426,208.138805,54.819837,-112.486766,186.634190,4.850642
0.020000,239.225144,91.426013,209.191392,52.629388,-109.522455,148.215545,4.838472
