dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,132.720662,102.052971,79.731749,72.231075,0.581814,-0.000142,6.275439
0.020000,134.165475,102.042062,81.176603,72.242712,0.581809,-0.000271,6.275835
0.020000,135.610525,102.031738,82.621690,72.254348,0.581803,-0.000296,6.276250
0.020000,137.055812,102.022026,84.067010,72.265984,0.581795,-0.000386,6.276685
0.020000,138.501336,102.012955,85.512562,72.277619,0.581782,-0.000649,6.277138
0.020000,139.947097,102.004550,86.958347,72.289255,0.581772,-0.000520,6.277610
0.020000,141.393094,101.996841,88.404365,72.300890,0.581758,-0.000719,6.278101
0.020000,142.839327,101.989855,89.850615,72.312525,0.581740,-0.000907,6.278612
0.020000,144.285797,101.983620,91.297098,72.324159,0.581713,-0.001351,6.279141
0.020000,145.732503,101.978163,92.743814,72.335793,0.581694,-0.000906,6.279689
0.020000,147.179444,101.973512,94.190763,72.347426,0.581668,-0.001341,6.280256
0.020000,148.626620,101.969695,95.637944,72.359059,0.581633,-0.001711,6.280842
0.020000,150.074031,101.966740,97.085358,72.370691,0.581589,-0.002227,6.281448
0.020000,151.521676,101.964674,98.533004,72.382322,0.581559,-0.001482,6.282072
0.020000,152.969554,101.963525,99.980883,72.393952,0.581515,-0.002192,6.282715
0.020000,154.390433,101.964352,101.401762,71.043928,-67.501219,-3404.136727,0.005499
0.020000,156.113149,101.994032,103.124734,86.148587,755.232984,41136.710172,0.028602
0.020000,157.805126,102.060230,104.818005,84.663576,-74.250544,-41474.176390,0.049280
0.020000,159.468264,102.157900,106.484009,83.300211,-68.168288,304.112757,0.067731
0.020000,161.104417,102.282612,108.124908,82.044911,-62.764978,270.165499,0.084132
0.020000,162.715354,102.430460,109.742616,80.885401,-57.975529,239.472487,0.098640
0.020000,164.302734,102.597980,111.338810,79.809709,-53.784565,209.548191,0.111391
0.020000,165.868083,102.782075,112.914947,78.806859,-50.142498,182.103358,0.122505
0.020000,167.412809,102.979960,114.472297,77.867504,-46.967782,158.735784,0.132085
0.020000,168.938151,103.189100,116.011910,76.980627,-44.343831,131.197543,0.140217
0.020000,170.445239,103.407175,117.534693,76.139189,-42.071883,113.597396,0.146975
0.020000,171.935052,103.632033,119.041379,75.334305,-40.244230,91.382684,0.152419
0.020000,173.408432,103.861661,120.532547,74.558357,-38.797374,72.342766,0.156596
0.020000,174.866105,104.094160,122.008645,73.804917,-37.672035,56.266984,0.159543
0.020000,176.308661,104.327717,123.469985,73.067015,-36.895057,38.848897,0.161285
0.020000,177.736562,104.560582,124.916750,72.338239,-36.438829,22.811400,0.161837
0.020000,179.150144,104.791055,126.348997,71.612330,-36.295457,7.168557,0.161204
0.020000,180.549609,105.017464,127.766658,70.883078,-36.462564,-8.355325,0.159380
0.020000,181.935028,105.238157,129.169545,70.144333,-36.937257,-23.734663,0.156350
0.020000,183.306324,105.451482,130.557334,69.389474,-37.742947,-40.284485,0.152088
0.020000,184.663267,105.655780,131.929571,68.611830,-38.882231,-56.964224,0.146557
0.020000,186.005464,105.849377,133.285659,67.804385,-40.372243,-74.500578,0.139707
0.020000,187.332351,106.030576,134.624860,66.960093,-42.214621,-92.118879,0.131479
0.020000,188.643142,106.197645,135.946256,66.069769,-44.516189,-115.078405,0.121797
0.020000,189.936864,106.348830,137.248781,65.126244,-47.176217,-133.001434,0.110575
0.020000,191.212264,106.482339,138.531150,64.118468,-50.388795,-160.628885,0.097708
0.020000,192.467840,106.596364,139.791892,63.037119,-54.067475,-183.934007,0.083076
0.020000,193.701783,106.689083,141.029314,61.871084,-58.301749,-211.713674,0.066540
0.020000,194.911951,106.758688,142.241482,60.608400,-63.134198,-241.622487,0.047942
0.020000,196.095835,106.803413,143.426211,59.236437,-68.598158,-273.197957,0.027105
0.020000,197.250540,106.821581,144.581059,57.742385,-74.702612,-305.222726,0.003830
